Date,AAPL,CAT,GLD,JNJ,JPM,PG,UNG,USO,XOM
2019-12-27,69.79308319091797,130.33518981933594,142.3300018310547,121.753173828125,116.7934799194336,107.0097885131836,69.36000061035156,103.27999877929688,52.192779541015625
2019-12-30,70.20732879638672,129.6671142578125,142.6300048828125,121.37727355957031,116.36539459228516,105.63495635986328,67.5999984741211,103.12000274658203,51.886600494384766
2019-12-31,70.72028350830078,129.80780029296875,142.89999389648438,121.85340118408203,117.0117416381836,105.99988555908203,67.44000244140625,102.4800033569336,52.110633850097656
2020-01-02,72.33387756347656,132.31288146972656,143.9499969482422,121.93693542480469,118.43032836914062,104.73535919189453,65.87999725341797,102.4800033569336,52.947021484375
2020-01-03,71.6306381225586,130.4757843017578,145.86000061035156,120.52517700195312,116.86748504638672,104.03096008300781,65.55999755859375,105.44000244140625,52.5213737487793
2020-01-06,72.20140075683594,130.3878936767578,147.38999938964844,120.3748550415039,116.77454376220703,104.17522430419922,66.36000061035156,105.27999877929688,52.924625396728516
2020-01-07,71.86184692382812,128.6650848388672,147.97000122070312,121.10993194580078,114.7893295288086,103.53022766113281,66.4800033569336,105.04000091552734,52.49148941040039
2020-01-08,73.01782989501953,129.80780029296875,146.86000061035156,121.09323120117188,115.68477630615234,103.9715347290039,66.5199966430664,101.27999877929688,51.69990158081055
2020-01-09,74.56880187988281,129.4825897216797,146.02999877929688,121.45244598388672,116.10717010498047,105.10877227783203,66.68000030517578,99.91999816894531,52.09569549560547
2020-01-10,74.73736572265625,128.44532775878906,146.91000366210938,121.17677307128906,114.94984436035156,105.2105941772461,68.16000366210938,99.27999877929688,51.63269805908203
2020-01-13,76.3341064453125,129.05191040039062,145.82000732421875,121.71138763427734,115.9044418334961,105.98289489746094,67.76000213623047,97.5999984741211,52.12557601928711
2020-01-14,75.30331420898438,128.92877197265625,145.69000244140625,122.39643096923828,117.25605010986328,105.82167053222656,67.4000015258789,98.23999786376953,51.67749786376953
2020-01-15,74.98062133789062,127.95313262939453,146.5399932861328,122.80574798583984,115.49893951416016,106.89946746826172,65.72000122070312,97.44000244140625,51.59535598754883
2020-01-16,75.91985321044922,129.9748077392578,146.30999755859375,123.79979705810547,115.94664764404297,106.99283599853516,64.31999969482422,98.31999969482422,51.39372634887695
2020-01-17,76.7603530883789,130.80677795410156,146.5800018310547,124.61009979248047,116.74917602539062,107.2813949584961,62.15999984741211,98.63999938964844,51.199554443359375
2020-01-21,76.24015808105469,129.09849548339844,146.74000549316406,124.69361114501953,115.60029602050781,107.0097885131836,59.47999954223633,97.91999816894531,50.46770095825195
2020-01-22,76.5123062133789,126.24830627441406,146.7899932861328,123.84156799316406,115.46514129638672,107.19652557373047,59.63999938964844,95.19999694824219,50.17646026611328
2020-01-23,76.88079071044922,126.35454559326172,147.1199951171875,124.07548522949219,115.34685516357422,106.70648956298828,59.7599983215332,93.27999877929688,49.86280822753906
2020-01-24,76.65921783447266,124.25672149658203,147.97999572753906,123.9000244140625,112.48303985595703,106.83454132080078,58.439998626708984,91.44000244140625,49.52676773071289
2020-01-27,74.40503692626953,120.14078521728516,148.99000549316406,124.25924682617188,111.5368881225586,107.30409240722656,58.560001373291016,88.80000305175781,48.346832275390625
2020-01-28,76.5099105834961,121.03482055664062,147.66000366210938,124.8857192993164,113.56434631347656,107.5943374633789,59.599998474121094,90.0,48.27963638305664
2020-01-29,78.11140441894531,120.18507385253906,148.4600067138672,125.75450134277344,113.3954086303711,106.76622772216797,58.63999938964844,89.27999877929688,47.87636947631836
2020-01-30,77.99822235107422,119.8221664428711,148.47000122070312,125.60417175292969,114.79776000976562,107.52605438232422,57.2400016784668,88.63999938964844,48.38418197631836
2020-01-31,74.53990936279297,116.26388549804688,149.3300018310547,124.35948181152344,111.8156509399414,106.39059448242188,57.47999954223633,86.72000122070312,46.390262603759766
2020-02-03,74.3351821899414,114.8653335571289,148.36000061035156,125.4454574584961,112.66886901855469,106.80892944335938,56.84000015258789,83.91999816894531,45.352237701416016
2020-02-04,76.7892837524414,118.1757583618164,146.42999267578125,126.63999938964844,114.29087829589844,107.27849578857422,58.599998474121094,83.5199966430664,44.7846794128418
2020-02-05,77.41543579101562,121.65441131591797,146.61000061035156,128.6365203857422,116.23388671875,108.26026153564453,58.52000045776367,85.5999984741211,46.845802307128906
2020-02-06,78.32096862792969,121.48622131347656,147.39999389648438,128.25228881835938,116.25077819824219,108.54198455810547,58.2400016784668,85.91999816894531,46.21104049682617
2020-02-07,77.2563705444336,118.05187225341797,147.7899932861328,126.8823013305664,115.87908172607422,107.63703918457031,57.79999923706055,84.63999938964844,45.90484619140625
2020-02-10,77.62329864501953,118.89276123046875,148.1699981689453,126.8572006225586,116.36061096191406,107.71387481689453,55.36000061035156,83.36000061035156,45.42005157470703
2020-02-11,77.15496826171875,120.54798126220703,147.66000366210938,126.96578979492188,116.58028411865234,105.9979019165039,56.119998931884766,84.0,45.85182189941406
2020-02-12,78.98722076416016,123.5574722290039,147.5399932861328,126.2139663696289,116.58028411865234,105.39176177978516,57.68000030517578,86.4800033569336,46.412384033203125
2020-02-13,78.42475891113281,123.67255401611328,148.3800048828125,125.37865447998047,116.4789047241211,106.68086242675781,57.279998779296875,86.72000122070312,46.154823303222656
2020-02-14,78.44405364990234,122.14122772216797,149.0,125.41203308105469,116.12406921386719,107.68826293945312,57.36000061035156,87.5999984741211,45.94272994995117
2020-02-18,77.00772094726562,120.8932113647461,150.91000366210938,124.58500671386719,114.5865478515625,106.60401916503906,60.400001525878906,87.5999984741211,45.35945129394531
2020-02-19,78.12299346923828,121.14102172851562,151.7899932861328,124.41796875,116.14942169189453,107.09066009521484,61.119998931884766,89.44000244140625,45.70790100097656
2020-02-20,77.32152557373047,121.20297241210938,152.41000366210938,123.94180297851562,116.14942169189453,108.06388854980469,59.63999938964844,90.23999786376953,45.344303131103516
2020-02-21,75.57135772705078,121.45087432861328,154.6999969482422,125.24497985839844,114.73016357421875,108.16634368896484,59.20000076293945,89.27999877929688,44.79132080078125
2020-02-24,71.981689453125,116.98966217041016,156.08999633789062,122.66405487060547,111.64671325683594,105.2636947631836,57.439998626708984,85.91999816894531,42.693023681640625
2020-02-25,69.54351806640625,114.18379974365234,153.3000030517578,121.60479736328125,106.6624984741211,103.6672592163086,57.119998931884766,83.19999694824219,41.05681610107422
2020-02-26,70.64673614501953,113.51992797851562,153.97000122070312,120.78932189941406,106.98348999023438,102.58302307128906,56.36000061035156,81.5199966430664,40.1553840637207
2020-02-27,66.02867889404297,109.11190032958984,154.0,116.95581817626953,102.531494140625,96.89724731445312,53.880001068115234,78.23999786376953,37.73893356323242
2020-02-28,65.99005126953125,109.97048950195312,148.3800048828125,113.0550765991211,98.08792114257812,96.66674041748047,52.400001525878906,75.5999984741211,38.966102600097656
2020-03-02,72.13378143310547,112.944580078125,149.1999969482422,117.71244812011719,102.658203125,102.07078552246094,54.31999969482422,79.36000061035156,40.81441879272461
2020-03-03,69.84285736083984,110.09440612792969,153.88999938964844,113.98819732666016,98.80598449707031,100.88411712646484,55.720001220703125,79.12000274658203,38.860042572021484
2020-03-04,73.08250427246094,112.7675552368164,154.16000366210938,120.62118530273438,101.24742889404297,106.28814697265625,56.7599983215332,78.87999725341797,39.708465576171875
2020-03-05,70.71190643310547,107.96121978759766,157.49000549316406,119.38536834716797,96.28009033203125,103.83798217773438,54.599998474121094,76.87999725341797,37.958614349365234
2020-03-06,69.7728500366211,107.46553802490234,157.5500030517578,119.40222930908203,91.30429077148438,103.86360168457031,53.279998779296875,69.83999633789062,36.12545394897461
2020-03-09,64.25438690185547,92.11711120605469,157.80999755859375,114.7027816772461,78.9366683959961,99.082763671875,56.400001525878906,52.15999984741211,31.709192276000977
2020-03-10,68.88208770751953,94.2591552734375,154.47999572753906,119.0743637084961,85.06977844238281,102.91596984863281,59.880001068115234,57.91999816894531,32.883331298828125
2020-03-11,66.48976135253906,89.12531280517578,153.92999267578125,110.80201721191406,81.06550598144531,95.2666244506836,58.15999984741211,55.52000045776367,31.800100326538086
2020-03-12,59.923587799072266,81.6635513305664,147.7899932861328,105.43008422851562,74.38326263427734,86.94285583496094,56.79999923706055,52.31999969482422,28.1640682220459
2020-03-13,67.10295104980469,88.1958999633789,143.27999877929688,112.89534759521484,87.78154754638672,97.38386535644531,59.0,55.68000030517578,28.876117706298828
2020-03-16,58.470340728759766,82.68147277832031,141.63999938964844,106.87603759765625,74.6451416015625,92.62862396240234,55.68000030517578,48.400001525878906,26.126380920410156
2020-03-17,61.04127502441406,88.69157409667969,143.55999755859375,114.82889556884766,79.20697784423828,100.9438705444336,53.47999954223633,45.68000030517578,27.883798599243164
2020-03-18,59.5469970703125,88.62078857421875,140.6999969482422,113.45861053466797,70.86894989013672,100.2694320678711,50.959999084472656,37.68000030517578,25.088592529296875
2020-03-19,59.09074401855469,91.17886352539062,138.0399932861328,106.80877685546875,72.06009674072266,94.61781311035156,52.279998779296875,42.959999084472656,26.080923080444336
